County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
STATE OF TEXAS,0,All Ages,29001602,14405398,14596204,12034112,5967896,6066216,3439413,1665112,1774301,1429669,701052,728617,651510,323801,327709,11446898,5747537,5699361
ANDERSON COUNTY,1,All Ages,59025,36468,22557,34133,19251,14882,12495,9263,3232,315,150,165,1374,671,703,10708,7133,3575
ANDREWS COUNTY,3,All Ages,19279,9883,9396,6767,3413,3354,222,109,113,85,45,40,228,113,115,11977,6203,5774
ANGELINA COUNTY,5,All Ages,90989,44735,46254,54355,26632,27723,13650,6451,7199,919,426,493,1489,736,753,20576,10490,10086
ARANSAS COUNTY,7,All Ages,23710,11863,11847,15566,7597,7969,242,135,107,408,199,209,458,223,235,7036,3709,3327
ARCHER COUNTY,9,All Ages,9228,4546,4682,7917,3846,4071,57,33,24,25,9,16,264,106,158,965,552,413
ARMSTRONG COUNTY,11,All Ages,2001,986,1015,1815,892,923,11,6,5,0,0,0,42,16,26,133,72,61
ATASCOSA COUNTY,13,All Ages,50898,25705,25193,16896,8443,8453,262,146,116,151,70,81,536,261,275,33053,16785,16268
AUSTIN COUNTY,15,All Ages,32067,15823,16244,19590,9600,9990,2898,1441,1457,135,55,80,602,313,289,8842,4414,4428
BAILEY COUNTY,17,All Ages,7113,3672,3441,2224,1088,1136,61,44,17,24,13,11,146,80,66,4658,2447,2211
BANDERA COUNTY,19,All Ages,23129,11396,11733,17838,8823,9015,111,54,57,64,22,42,514,248,266,4602,2249,2353
BASTROP COUNTY,21,All Ages,89564,45451,44113,46301,22857,23444,6233,3345,2888,535,246,289,2001,1024,977,34494,17979,16515
BAYLOR COUNTY,23,All Ages,3751,1869,1882,3081,1539,1542,69,38,31,4,0,4,101,48,53,496,244,252
BEE COUNTY,25,All Ages,33471,20292,13179,10200,6366,3834,2682,2448,234,165,85,80,362,179,183,20062,11214,8848
BELL COUNTY,27,All Ages,359255,181022,178233,159647,80639,79008,76491,38961,37530,10914,4556,6358,18005,8860,9145,94198,48006,46192
BEXAR COUNTY,29,All Ages,1997417,987818,1009599,539391,271228,268163,146619,73599,73020,57628,26767,30861,45438,22725,22713,1208341,593499,614842
BLANCO COUNTY,31,All Ages,12159,6072,6087,9464,4625,4839,69,44,25,50,16,34,197,109,88,2379,1278,1101
BORDEN COUNTY,33,All Ages,680,357,323,569,300,269,0,0,0,0,0,0,8,2,6,103,55,48
BOSQUE COUNTY,35,All Ages,19062,9322,9740,14494,6951,7543,349,192,157,50,15,35,510,258,252,3659,1906,1753
BOWIE COUNTY,37,All Ages,96380,48569,47811,61172,30108,31064,23617,11770,11847,1007,432,575,3394,1763,1631,7190,4496,2694
BRAZORIA COUNTY,39,All Ages,380439,192386,188053,176771,88399,88372,52048,26707,25341,25986,12774,13212,8519,4253,4266,117115,60253,56862
BRAZOS COUNTY,41,All Ages,230789,116792,113997,126245,63747,62498,25547,12332,13215,13476,7410,6066,5162,2536,2626,60359,30767,29592
BREWSTER COUNTY,43,All Ages,9092,4523,4569,4664,2300,2364,88,65,23,83,37,46,267,130,137,3990,1991,1999
BRISCOE COUNTY,45,All Ages,1572,785,787,1046,513,533,41,22,19,0,0,0,21,10,11,464,240,224
BROOKS COUNTY,47,All Ages,7115,3670,3445,607,297,310,18,10,8,17,10,7,20,7,13,6453,3346,3107
BROWN COUNTY,49,All Ages,38993,19218,19775,27372,13310,14062,1482,807,675,187,85,102,833,425,408,9119,4591,4528
BURLESON COUNTY,51,All Ages,18373,9164,9209,11494,5661,5833,2241,1082,1159,25,7,18,310,164,146,4303,2250,2053
BURNET COUNTY,53,All Ages,48716,23865,24851,35280,17042,18238,760,407,353,226,85,141,826,389,437,11624,5942,5682
CALDWELL COUNTY,55,All Ages,43199,21725,21474,16812,8418,8394,2416,1279,1137,361,190,171,619,322,297,22991,11516,11475
CALHOUN COUNTY,57,All Ages,22028,11236,10792,9208,4653,4555,542,277,265,1082,598,484,250,146,104,10946,5562,5384
CALLAHAN COUNTY,59,All Ages,14070,7005,7065,12035,5966,6069,152,72,80,71,19,52,336,166,170,1476,782,694
CAMERON COUNTY,61,All Ages,426210,206708,219502,37470,19008,18462,1438,829,609,2670,1330,1340,1626,808,818,383006,184733,198273
CAMP COUNTY,63,All Ages,12914,6308,6606,7176,3457,3719,2102,965,1137,69,33,36,406,202,204,3161,1651,1510
CARSON COUNTY,65,All Ages,5951,3000,2951,5114,2577,2537,42,19,23,20,8,12,142,84,58,633,312,321
CASS COUNTY,67,All Ages,30451,14712,15739,23212,11252,11960,5080,2406,2674,110,49,61,710,310,400,1339,695,644
CASTRO COUNTY,69,All Ages,7380,3739,3641,2362,1177,1185,170,94,76,39,21,18,60,25,35,4749,2422,2327
CHAMBERS COUNTY,71,All Ages,44298,22330,21968,28880,14502,14378,3638,1787,1851,430,200,230,721,364,357,10629,5477,5152
CHEROKEE COUNTY,73,All Ages,53539,27218,26321,32318,15965,16353,7337,3961,3376,242,106,136,1155,549,606,12487,6637,5850
CHILDRESS COUNTY,75,All Ages,7038,4109,2929,4037,2037,2000,702,555,147,59,34,25,133,69,64,2107,1414,693
CLAY COUNTY,77,All Ages,10351,5212,5139,9388,4755,4633,56,33,23,37,15,22,309,149,160,561,260,301
COCHRAN COUNTY,79,All Ages,2904,1469,1435,1044,543,501,100,43,57,2,1,1,47,20,27,1711,862,849
COKE COUNTY,81,All Ages,3390,1666,1724,2645,1288,1357,6,5,1,4,0,4,71,33,38,664,340,324
COLEMAN COUNTY,83,All Ages,8191,4114,4077,6130,3074,3056,227,110,117,30,15,15,212,94,118,1592,821,771
COLLIN COUNTY,85,All Ages,1033046,506593,526453,584374,286973,297401,102230,48022,54208,152135,75122,77013,34334,16795,17539,159973,79681,80292
COLLINGSWORTH COUNTY,87,All Ages,2853,1398,1455,1667,818,849,118,54,64,3,0,3,78,36,42,987,490,497
COLORADO COUNTY,89,All Ages,22283,11179,11104,11962,5928,6034,2856,1387,1469,85,33,52,373,166,207,7007,3665,3342
COMAL COUNTY,91,All Ages,156317,77223,79094,104248,51232,53016,3318,1757,1561,1135,459,676,2454,1191,1263,45162,22584,22578
COMANCHE COUNTY,93,All Ages,13878,6843,7035,9532,4735,4797,28,12,16,39,11,28,217,104,113,4062,1981,2081
CONCHO COUNTY,95,All Ages,2716,1835,881,1152,573,579,38,33,5,7,4,3,23,13,10,1496,1212,284
COOKE COUNTY,97,All Ages,40477,19793,20684,30044,14517,15527,1185,639,546,309,137,172,1110,536,574,7829,3964,3865
CORYELL COUNTY,99,All Ages,75137,37634,37503,42021,20966,21055,11850,5895,5955,1332,488,844,5335,2714,2621,14599,7571,7028
COTTLE COUNTY,101,All Ages,1354,650,704,855,414,441,137,63,74,0,0,0,20,14,6,342,159,183
CRANE COUNTY,103,All Ages,4678,2406,2272,1397,671,726,112,56,56,10,3,7,52,30,22,3107,1646,1461
CROCKETT COUNTY,105,All Ages,3461,1716,1745,1200,593,607,10,6,4,11,2,9,29,21,8,2211,1094,1117
CROSBY COUNTY,107,All Ages,5702,2733,2969,2085,974,1111,185,78,107,2,0,2,68,36,32,3362,1645,1717
CULBERSON COUNTY,109,All Ages,2211,1021,1190,522,269,253,7,5,2,22,7,15,43,21,22,1617,719,898
DALLAM COUNTY,111,All Ages,7053,3651,3402,3387,1717,1670,88,49,39,35,19,16,282,161,121,3261,1705,1556
DALLAS COUNTY,113,All Ages,2647576,1301051,1346525,749891,368667,381224,598992,277257,321735,177261,87852,89409,55271,26603,28668,1066161,540672,525489
DAWSON COUNTY,115,All Ages,12720,7088,5632,4418,2356,2062,856,625,231,49,24,25,215,117,98,7182,3966,3216
